organisation_slug,organisation_name,member_name,member_location,member_type,member_website,source_url
aoc,Association of Colleges (AoC),Burton and South Derbyshire College,West Midlands,Member,http://www.bsdc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Burton and South Derbyshire College,West Midlands,Member,http://www.bsdc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bury College,North West,Member,http://www.burycollege.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bury College,North West,Member,http://www.burycollege.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Cadbury Sixth Form College,West Midlands,Member,https://www.cadcol.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Calderdale College,Yorkshire & Humberside,Member,http://www.calderdale.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Calderdale College,Yorkshire & Humberside,Member,http://www.calderdale.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Cambridge Regional College,East,Member,http://www.camre.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Canterbury College,South East,Member,https://www.ekcgroup.ac.uk/colleges/canterbury-college,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Canterbury College,South East,Member,https://www.ekcgroup.ac.uk/colleges/canterbury-college,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Capel Manor College,Greater London,Member,https://www.capel.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Capel Manor College,Greater London,Member,https://www.capel.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Carlisle College,North West,Member,http://www.carlisle.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Carshalton College,Greater London,Member,http://www.carshalton.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Carshalton College,Greater London,Member,http://www.carshalton.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Central Bedfordshire College,East,Member,https://www.centralbeds.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Central College Nottingham,East Midlands,Member,https://www.nottinghamcollege.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Cheadle and Marple Sixth Form College,North West,Member,http://www.camsfc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Chelmsford College,East,Member,https://www.chelmsford.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Chelmsford College,East,Member,https://www.chelmsford.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Cheshire College South & West,North West,Member,https://www.ccsw.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Chesterfield College,East Midlands,Member,http://www.chesterfield.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Chichester College Group,South East,Member,https://www.chigroup.ac.uk/,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City and Islington College,Greater London,Member,http://www.candi.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City College Norwich,East,Member,http://www.ccn.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City College Plymouth,South West,Member,http://www.cityplym.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City College Southampton,South East,Member,http://www.southampton-city.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City Lit,Greater London,Member,http://www.citylit.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City Lit,Greater London,Member,http://www.citylit.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Bristol College,South West,Member,http://www.cityofbristol.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Oxford College,South East,Member,https://www.activatelearning.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Portsmouth College,South East,Member,,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Westminster College,Greater London,Member,https://www.cwc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Westminster College,Greater London,Member,https://www.cwc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),City of Wolverhampton College,West Midlands,Member,https://www.wolvcoll.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
